,pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation
80,53.0,20455,-59.5,-76.5,136.0,14.0,-9.72521718642596,10.070757204741119,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
81,50.8,20726,-60.4,-77.4,145.0,11.0,-6.309340799861506,9.010672487178912,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
82,50.0,20820,-60.7,-77.7,125.0,10.0,-8.191520442889917,5.735764363510461,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
83,46.0,21336,-61.5,-77.5,115.0,15.0,-13.594616805549752,6.33927392611049,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
84,45.8,21363,-61.5,-77.5,113.0,15.0,-13.807572801786604,5.860966927339107,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
85,42.2,21871,-60.5,-77.5,80.0,18.0,-17.726539554219745,-3.1256671980047477,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
86,41.7,21946,-60.0,-77.3,75.0,18.0,-17.38666487320323,-4.658742811845373,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
87,39.5,22284,-57.5,-76.5,83.0,16.0,-15.880738426261152,-1.9499094944823598,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
88,37.8,22555,-57.7,-76.7,90.0,15.0,-15.0,-9.18485099360515e-16,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
89,36.0,22860,-57.9,-76.9,125.0,15.0,-12.287280664334876,8.603646545265692,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
90,34.3,23165,-58.0,-77.0,115.0,11.0,-9.969385657403151,4.648800879147693,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
91,33.9,23246,-58.1,-77.1,106.0,10.0,-9.612616959383189,2.7563735581699906,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
92,32.7,23470,-57.1,-77.3,80.0,9.0,-8.863269777109872,-1.5628335990023738,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
93,31.2,23774,-55.8,-77.5,70.0,18.0,-16.91446717414635,-6.156362579862039,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
94,30.0,24020,-54.7,-77.7,75.0,20.0,-19.318516525781366,-5.176380902050415,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
95,28.4,24384,-53.2,-76.2,95.0,28.0,-27.893451546568876,2.4403607969344305,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
96,27.1,24689,-52.0,-75.0,100.0,25.0,-24.6201938253052,4.341204441673257,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
97,25.8,24994,-50.8,-73.8,90.0,26.0,-26.0,-1.592040838891559e-15,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
98,24.4,25357,-49.3,-72.3,90.0,25.0,-25.0,-1.5308084989341915e-15,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
99,22.4,25908,-49.3,-72.3,90.0,24.0,-24.0,-1.4695761589768238e-15,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
100,20.0,26660,-49.3,-72.3,120.0,22.0,-19.052558883257653,10.999999999999995,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
101,19.2,26927,-49.5,-73.5,131.0,19.0,-14.33948202423267,12.465121550819637,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
102,18.6,27127,-48.4,-71.9,140.0,17.0,-10.927389364671171,13.022755533022625,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
103,17.8,27432,-46.7,-69.4,135.0,13.0,-9.19238815542512,9.192388155425117,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
104,17.1,27693,-45.3,-67.3,136.0,11.0,-7.641242075048969,7.9127378037251646,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
105,15.2,28476,-46.5,-69.5,139.0,4.0,-2.624236115962029,3.018838320891088,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
106,14.8,28651,-45.9,-68.6,140.0,3.0,-1.9283628290596184,2.2981333293569337,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
107,11.3,30480,-39.7,-59.1,85.0,15.0,-14.942920471376183,-1.307336141214872,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
108,10.9,30721,-38.9,-57.9,93.0,17.0,-16.976702090827754,0.8897112561300453,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
109,10.3,31109,-39.3,-58.3,,,,,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
110,10.3,31090,-39.3,-58.3,105.0,21.0,-20.284442352070435,5.435199947152938,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
